,ruleyear,Nonprofits,Parent-Teacher Groups,Scholarship Orgs,Single Support Fundraising Orgs,Fraternities,Education Service Orgs
105,2014.0,9335,1344.0,1607.0,1299.0,189.0,979.0
106,2015.0,7244,980.0,1174.0,785.0,72.0,896.0
107,2016.0,7438,1021.0,1161.0,760.0,257.0,935.0
108,2017.0,7445,1029.0,1127.0,762.0,107.0,1033.0
109,2018.0,7797,1199.0,1185.0,743.0,101.0,1022.0
110,2019.0,10054,1300.0,1425.0,812.0,149.0,1344.0
111,2020.0,8343,791.0,1176.0,573.0,151.0,1390.0
112,2021.0,9020,763.0,1307.0,598.0,111.0,1519.0
113,2022.0,12032,1382.0,1752.0,744.0,131.0,1755.0
114,2023.0,11662,1608.0,1453.0,722.0,138.0,2290.0
115,2024.0,1495,186.0,179.0,94.0,8.0,343.0
